Author,Reported_Degree,Actual_Degree,Strength
David Donaire-Gonzalez,11,11,11
Luisa Martínez-Sanchez,11,11,11
Lucía Cabal-Hierro,11,11,11
D. Benavent,25,25,25
Fátima Brañas,11,11,11
Vishakha Joseph,2,2,2
Chandra Prakash Lora,2,2,2
Narmadha T,2,2,2
Sanjaikanth E Vadakkethil Somanathan Pillai,1,1,1
V. M,1,1,1
Thomas Petit-Jean,7,7,7
C. Gérardin,7,7,7
Emmanuelle Berthelot,7,7,7
Gilles Chatellier,7,7,7
Marie Frank,7,7,7
E. Kempf,7,7,7
Romain Bey,7,7,7
Niklas Noe-Steinmüller,5,5,5
Dmitry Scherbakov,9,9,9
Alexandra Zhuravlyova,5,5,5
T. Wager,5,5,5
P. Goldstein,5,5,5
J. Tesarz,5,5,5
O. Olanrewaju,2,2,2
W. Enegbuma,2,2,2
Michael Donn,2,2,2
M. Sisto,4,4,4
Laura Hernández-Lorenzo,4,4,4
Salvador Ros,4,4,4
E. González-Blanco,4,4,4
Valerio Bellandi,6,6,6
Christian Bernasconi,6,6,6
Fausto Lodi,6,6,6
Matteo Palmonari,6,6,6
Riccardo Pozzi,6,6,6
Marco Ripamonti,6,6,6
S. Siccardi,7,7,7
Tuğçe Çabuk,5,5,5
Nurullah Sevim,8,8,12
Emre Mutlu,5,5,5
A. E. A. Yagcioglu,5,5,5
Aykut Koç,14,14,20
T. Toulopoulou,5,5,5
Ana P.O. Costa,3,3,3
M. Seabra,3,3,3
J. C. D. César de Sá,3,3,3
Abel D. Santos,3,3,3
Mritunjay Ranjan,3,3,3
S. Tiwari,14,14,16
Arif Md. Sattar,3,3,3
Nisha S. Tatkar,3,3,3
J. Campbell,2,2,2
Katie Ansell,2,2,2
Tim Stelzer,2,2,2
Jaime González-González,4,4,4
Francisco de Arriba-Pérez,9,9,17
Oscar Barba-Seara,4,4,4
Barbara D. Lam,12,12,12
Pavlina Chrysafi,12,12,12
T. Chiasakul,12,12,12
H. Khosla,12,12,12
D. Karagkouni,12,12,12
M. Mcnichol,12,12,12
A. Adamski,12,12,12
Nimia L Reyes,12,12,12
Karon Abe,12,12,12
S. Mantha,12,12,12
Ioannis S Vlachos,12,12,12
Jeffrey I. Zwicker,12,12,12
Rushad Patell,12,12,12
Brenda Y. Miao,9,9,9
Madhumita Sushil,9,9,9
Ava Xu,9,9,9
Michelle Wang,9,9,9
D. Arneson,9,9,9
Ellen Berkley,9,9,9
Meera Subash,9,9,9
Rohit Vashisht,9,9,9
V. Rudrapatna,9,9,9
A. Butte,9,9,9
Shan Li,4,4,4
Ying Gao,4,4,4
Jinta Weng,4,4,4
Guozhu Ding,4,4,4
Daniele Licari,1,1,1
Giovanni Comandé,1,1,1
R. Bridgelall,1,1,1
D. Tolliver,1,1,1
Ricardo Loor-Torres,14,14,14
Mayra Durán,14,14,14
David Toro-Tobón,14,14,14
Maria Mateo Chavez,14,14,14
Oscar Ponce,14,14,14
Cristian Soto Jacome,14,14,14
Danny Segura Torres,14,14,14
Sandra Algarin Perneth,14,14,14
Victor M. Montori,14,14,14
Elizabeth H Golembiewski,14,14,14
Mariana Borras Osorio,14,14,14
Naykky M Singh Ospina,14,14,14
J. P. Brito,14,14,14
David Peral-García,2,2,2
Juan Cruz-Benito,2,2,2
F. García-Peñalvo,2,2,2
S. Surve,1,1,1
Hiren Dand,1,1,1
I. Oraif,0,0,0
Huaiyuan Ying,18,18,18
Zijian Wu,5,5,5
Yihan Geng,5,5,5
Jiayu Wang,5,5,5
Dahua Lin,10,10,10
James Requeima,4,4,4
J. Bronskill,4,4,4
Dami Choi,4,4,4
Richard E. Turner,4,4,4
D. Duvenaud,4,4,4
Xin Quan,5,5,7
Marco Valentino,14,14,17
Louise A. Dennis,3,3,3
André Freitas,13,13,16
Xirui Peng,8,8,8
Qiming Xu,8,8,8
Zheng Feng,8,8,8
Haopeng Zhao,8,8,8
Lianghao Tan,8,8,8
Chenwei Gong,8,8,8
Yingqiao Zheng,8,8,8
Yu-Neng Chuang,5,5,5
Tianwei Xing,5,5,5
Chia-yuan Chang,15,15,15
Zirui Liu,9,9,10
Xia Hu,19,19,23
Lu Xu,4,4,4
Reidar Riveland,1,1,1
Alexandre Pouget,1,1,1
Jiayuan Xie,5,5,5
Yi Cai,16,16,20
Jiali Chen,5,5,5
Ruohang Xu,5,5,5
Jiexin Wang,5,5,5
Mohamad Fazelnia,3,3,3
Viktoria Koscinski,7,7,8
Spencer Herzog,3,3,3
Mehdi Mirakhorli,7,7,8
Manoel Aranda,11,11,17
Naelson D. C. Oliveira,11,11,17
Elvys Soares,11,11,17
Márcio Ribeiro,11,11,17
D. Romão,8,8,8
U. Patriota,8,8,8
Rohit Gheyi,11,11,17
Emerson Souza,11,11,17
I. Machado,11,11,17
Ife Adebara,2,2,4
AbdelRahim Elmadany,4,4,6
M. Abdul-Mageed,6,6,8
Zheng Ning,6,6,9
Yuan Tian,16,16,21
Zheng Zhang,35,35,45
Tianyi Zhang,31,31,36
T. Li,5,5,7
Qirui Sun,3,3,3
Qiaoyang Luo,3,3,3
Yunyi Ni,3,3,3
Haipeng Mi,3,3,3
Yuqi Ren,3,3,4
Renren Jin,3,3,3
Tongxuan Zhang,3,3,3
Young-Kyung Kim,2,2,2
Matías Di Martino,2,2,2
Zhenhua Wang,2,2,2
Guang Xu,2,2,2
Ming Ren,2,2,2
Yashar Moshfeghi,1,1,1
Omid Rohanian,10,10,19
Mohammadmahdi Nouriborji,10,10,19
David A. Clifton,2,2,2
Marco Polignano,10,10,12
Pierpaolo Basile,13,13,15
Xuanfan Ni,1,1,2
Piji Li,11,11,12
Saleh Ashkboos,4,4,4
Maximilian L. Croci,4,4,4
Marcelo Gennari do Nascimento,4,4,4
Torsten Hoefler,19,19,19
James Hensman,4,4,4
Haoran Wang,67,67,67
Siyuan Wu,70,70,75
Qihui Zhang,70,70,78
Chujie Gao,65,65,65
Yixin Huang,69,69,69
Wenhan Lyu,65,65,65
Yixuan Zhang,65,65,65
Xiner Li,67,67,69
Yijue Wang,72,72,72
Zhikun Zhang,65,65,65
B. Kailkhura,65,65,65
Chun-Yan Li,65,65,65
Eric P. Xing,74,74,75
Furong Huang,85,85,89
Haodong Liu,65,65,65
Hongyi Wang,74,74,75
M. Kellis,65,65,65
M. Zitnik,68,68,68
Meng Jiang,93,93,106
Jian Pei,117,117,123
Jian Liu,74,74,80
Jieyu Zhao,90,90,96
Jindong Wang,100,100,112
John Mitchell,65,65,65
Kaidi Xu,72,72,72
Lifang He,111,111,152
M. Backes,75,75,76
Neil Zhenqiang Gong,86,86,100
Pin-Yu Chen,90,90,90
Ran Xu,81,81,86
Shuiwang Ji,72,72,75
S. Jana,65,65,65
Tian-Xiang Chen,65,65,65
Tianying Zhou,65,65,65
William Wang,65,65,65
Xiang-Yu Zhang,65,65,65
Xiao Wang,122,122,126
Xingyao Xie,65,65,65
Xuyu Wang,65,65,65
Yan Liu,88,88,88
Yanfang Ye,72,72,72
Yinzhi Cao,75,75,75
Juyong Jiang,7,7,9
Jiasi Shen,4,4,4
Sungju Kim,4,4,4
Sunghun Kim,24,24,26
R. Bhayana,0,0,0
B. Das,2,2,2
M. H. Amini,2,2,2
Yanzhao Wu,2,2,2
Weilin Cai,5,5,5
Jing Tang,17,17,17
Jiayi Huang,5,5,5
Wonbeom Lee,3,3,3
Jungi Lee,3,3,3
Junghwan Seo,3,3,3
Jaewoong Sim,3,3,3
Roberto Gallotta,6,6,6
Graham Todd,6,6,6
Marvin Zammit,6,6,6
Sam Earle,6,6,6
Antonios Liapis,6,6,6
Julian Togelius,6,6,6
Georgios N. Yannakakis,6,6,6
Xingyu Wu,7,7,10
Sheng-hao Wu,4,4,4
Jibin Wu,7,7,10
Liang Feng,7,7,10
Kay Chen Tan,7,7,10
Jiahuan Cao,4,4,4
Chongyu Liu,4,4,4
Lianwen Jin,13,13,13
Yanling Wang,15,15,15
Chuanpu Fu,15,15,15
Sijia Li,15,15,15
Xinhao Deng,15,15,15
Yunpeng Liu,15,15,15
Qinglin Zhang,30,30,32
Ziyi Qiu,15,15,15
Peiyang Li,15,15,15
Zhixing Tan,15,15,15
Junwu Xiong,15,15,15
Xinyu Kong,15,15,15
Zujie Wen,15,15,15
Ke Xu,184,184,184
Shujie Hu,12,12,16
Long Zhou,26,26,45
Shujie Liu,26,26,45
Hongkun Hao,10,10,10
Jing Pan,10,10,10
Xunying Liu,10,10,10
Jinyu Li,26,26,38
S. Sivasankaran,10,10,10
Linquan Liu,17,17,20
Iryna Hartsock,1,1,1
Ghulam Rasool,1,1,1
M. Cascella,13,13,14
Federico Semeraro,5,5,5
J. Montomoli,5,5,5
Valentina Bellini,5,5,5
Ornella Piazza,5,5,5
E. Bignami,13,13,14
Botao Yu,4,4,4
Frazier N. Baker,4,4,4
Ziqi Chen,4,4,4
Xia Ning,4,4,4
Huan Sun,12,12,15
Zhiwei Liu,5,5,5
Kailai Yang,9,9,10
Tianlin Zhang,10,10,13
Zeping Yu,5,5,5
Sophia Ananiadou,5,5,5
Thuy-Trang Vu,4,4,4
George Foster,4,4,4
Zhaorui Yang,6,6,6
H. Feng,6,6,6
Minfeng Zhu,12,12,13
Li-Chun Lu,5,5,5
Shou-Jen Chen,5,5,5
Tsung-Min Pai,5,5,5
Chan-Hung Yu,5,5,5
Shao-Hua Sun,5,5,5
Jean Lee,15,15,15
Nicholas Stevens,3,3,3
S. Han,15,15,21
Minseok Song,3,3,3
Yusen Zhang,5,5,5
Ruoxi Sun,14,14,23
Yanfei Chen,5,5,5
Tomas Pfister,18,18,27
Sercan Ö. Arik,18,18,27
Bo Hui,4,4,4
Haolin Yuan,4,4,4
N. Gong,4,4,4
Philippe Burlina,4,4,4
Yuemei Xu,5,5,5
Ling Hu,5,5,5
Jiayi Zhao,5,5,5
Yuqi Ye,5,5,5
Hanwen Gu,5,5,5
Nilaksh Das,15,15,15
Saket Dingliwal,15,15,15
S. Ronanki,15,15,15
Rohit Paturi,15,15,15
David Huang,19,19,19
Prashant Mathur,15,15,15
Jie Yuan,15,15,15
Dhanush Bekal,15,15,15
Xing Niu,15,15,15
Sai Muralidhar Jayanthi,15,15,15
Xilai Li,15,15,15
Karel Mundnich,15,15,15
S. Srinivasan,22,22,22
Kyu J Han,15,15,15
Katrin Kirchhoff,15,15,15
Cangqing Wang,6,6,6
Yutian Yang,6,6,6
Ruisi Li,6,6,6
Ruicong Cai,6,6,6
Yuzhu Zhang,6,6,6
Chengqian Fu,6,6,6
Xiyuan Zhang,3,3,3
Ranak Roy Chowdhury,3,3,3
Jingbo Shang,21,21,21
Jinlong Xue,3,3,3
Yayue Deng,3,3,3
Yingming Gao,3,3,3
Ya Li,3,3,3
Robert Schmirler,2,2,2
M. Heinzinger,23,23,35
B. Rost,25,25,43
Wenqi Shi,12,12,17
Yuchen Zhuang,17,17,24
Jieyu Zhang,81,81,85
Hang Wu,9,9,9
Yuanda Zhu,22,22,26
Joyce C. Ho,15,15,23
Carl Yang,40,40,49
M. D. Wang,9,9,9
Libo Qin,135,135,142
Qiguang Chen,11,11,16
Xiachong Feng,28,28,28
Yang Wu,38,38,44
Yongheng Zhang,8,8,8
Wanxiang Che,151,151,177
Pravneet Kaur,5,5,5
Gautam Siddharth Kashyap,5,5,5
Ankit Kumar,5,5,5
Md. Tabrez Nafis,5,5,5
Sandeep Kumar,9,9,9
Vikrant Shokeen,5,5,5
Xubin Ren,4,4,4
Jiabin Tang,4,4,4
Nitesh V. Chawla,4,4,4
Chenhao Fang,7,7,7
Xiaohan Li,11,11,16
Zezhong Fan,7,7,7
Jianpeng Xu,11,11,16
Kaushiki Nag,11,11,16
Evren Korpeoglu,11,11,16
Sushant Kumar,14,14,20
Kannan Achan,14,14,20
Yuhang Zhou,23,23,27
Zhi Chen,14,14,14
Lizi Liao,11,11,11
Sree Harsha Tanneru,2,2,4
Yan Wang,70,70,72
Andrew Zheng,12,12,12
Melih Selek,12,12,12
Kalpana Raja,15,15,20
Chih-Hsuan Wei,18,18,22
Youpeng Zhao,2,2,2
Di Wu,9,9,9
Ryan Wong,2,2,2
Necati Cihan Camgöz,2,2,2
Richard Bowden,2,2,2
J. Chow,2,2,2
Valerie Wong,2,2,2
Kay Li,3,3,3
Kaiyan Chang,12,12,12
Songcheng Xu,5,5,5
Chenglong Wang,13,13,13
Yingfeng Luo,13,13,15
Wenshan Wu,6,6,6
Shaoguang Mao,6,6,6
Yadong Zhang,6,6,6
Yan Xia,6,6,6
Lei Cui,12,12,14
Bingchen Zhao,3,3,3
Yongshuo Zong,3,3,3
Letian Zhang,7,7,7
Timothy M. Hospedales,5,5,5
Shuang Wu,10,10,10
Liwen Zhu,6,6,6
Shiwei Xu,6,6,6
Qiang Fu,27,27,28
Yang Wei,6,6,6
Haobo Fu,6,6,6
Mohamad Khajezade,4,4,4
Jie Jw Wu,4,4,4
F. H. Fard,12,12,13
Gema Rodríguez-Pérez,4,4,4
M. S. Shehata,4,4,4
Yuhong Sun,5,5,5
Zhangyue Yin,26,26,35
Jiawen Wu,7,7,10
Hui Zhao,11,11,11
Paiheng Xu,15,15,19
Junda Wu,12,12,12
Jiaxin Yuan,12,12,12
Fuxiao Liu,17,17,17
Tianrui Guan,12,12,12
Haoliang Wang,12,12,12
Tong Yu,35,35,43
Julian J. McAuley,12,12,12
Wei Ai,15,15,19
Minh-Hao Van,2,2,3
Prateek Verma,3,3,3
Xintao Wu,3,3,4
Arijit Ghosh Chowdhury,5,5,5
Md. Mofijul Islam,5,5,5
Vaibhav Kumar,7,7,7
F. H. Shezan,5,5,5
Vinija Jain,18,18,24
Aman Chadha,18,18,24
Sunkyu Kim,13,13,15
Choong-kun Lee,8,8,9
Seung-seob Kim,2,2,2
Ruikang Liu,8,8,8
Haoli Bai,8,8,8
Haokun Lin,8,8,8
Yuening Li,8,8,8
Han Gao,13,13,13
Zheng-Jun Xu,8,8,8
Lu Hou,21,21,24
Jun Yao,24,24,24
Chun Yuan,8,8,8
Yitian Ding,4,4,4
Chen Jia,4,4,4
Yining Wang,8,8,8
Zifan Qian,4,4,4
Saurav Pawar,5,5,5
S. Tonmoy,5,5,5
S. M. M. Zaman,5,5,5
Amitava Das,6,6,6
Luyu Gao,6,6,6
Barlas Oğuz,6,6,6
Wenhan Xiong,23,23,25
Xilun Chen,10,10,10
Yi-Lin Wei,7,7,7
Jian-Jian Jiang,7,7,7
Chengyi Xing,7,7,7
Xiantuo Tan,7,7,7
Xiao-Ming Wu,10,10,10
M. Cutkosky,7,7,7
Wei-Shi Zheng,7,7,7
Oluwole Fagbohun,4,4,4
Nwaamaka Pearl Iduwe,4,4,4
Mustapha Abdullahi,4,4,4
Adeseye Ifaturoti,4,4,4
Obinna Nwanna,4,4,4
Ruirui Chen,3,3,3
Weifeng Jiang,3,3,3
Dongkyu Choi,3,3,3
Crispin Almodovar,3,3,3
Fariza Sabrina,3,3,3
Sarvnaz Karimi,20,20,25
S. Azad,3,3,3
Yilun Zhu,23,23,23
Joel Ruben Antony Moniz,8,8,8
Shruti Bhargava,8,8,8
Jiarui Lu,8,8,8
Dhivya Piraviperumal,8,8,8
Site Li,8,8,8
Bo-Hsiang Tseng,19,19,21
Ahmed Ali Linkon,8,8,8
Mujiba ✉,8,8,8
Md Shohail Uddin Sarker,8,8,8
Norun Nabi,8,8,8
Md Nasir Uddin Rana,8,8,8
Sandip Kumar Ghosh,8,8,8
Mohammad Anisur Rahman,8,8,8
Hammed Esa,8,8,8
Faiaz Rahat Chowdhury,8,8,8
A. J. Thirunavukarasu,20,20,22
Shathar Mahmood,17,17,17
Andrew Malem,17,17,17
W. P. Foster,17,17,17
Rohan Sanghera,17,17,17
Refaat Hassan,17,17,17
Sean Zhou,17,17,17
Shiao Wei Wong,17,17,17
Yee Ling Wong,17,17,17
Yu Jeat Chong,17,17,17
Abdullah Shakeel,17,17,17
Yin-Hsi Chang,17,17,17
Benjamin Kye Jyn Tan,17,17,17
Nikhil Jain,17,17,17
Ting Fang Tan,20,20,22
S. Rauz,17,17,17
D. Ting,50,50,58
Darren S J Ting,17,17,17
Sayantani Biswas,5,5,8
L. N. Davies,5,5,8
Amy L. Sheppard,5,5,8
Nicola S Logan,4,4,4
J. Wolffsohn,5,5,8
Haibo Jin,6,6,6
Leyang Hu,6,6,6
Xinuo Li,6,6,6
Peiyan Zhang,6,6,6
Chonghan Chen,6,6,6
Jun Zhuang,6,6,6
Haohan Wang,8,8,8
Lei Liu,4,4,4
Runze Wang,7,7,7
Zhenxun Ma,4,4,4
Yanming Shen,11,11,11
Haoyan Luo,1,1,1
Yunpu Zhao,12,12,12
Wenyi Li,12,12,12
Jiaming Guo,12,12,12
Shaohui Peng,12,12,12
Yifan Hao,12,12,12
Yuanbo Wen,12,12,12
Xingui Hu,21,21,26
Zidong Du,27,27,35
Qi Guo,39,39,47
Ling Li,26,26,29
Yunji Chen,30,30,40
Tianlai Chen,22,22,23
Pranay Vure,3,3,3
Rishab Pulugurta,3,3,3
Pranam Chatterjee,22,22,23
Daeseung Park,3,3,3
Gi-taek An,3,3,3
Chayapol Kamyod,4,4,5
Cheong-Ghil Kim,4,4,5
Tianhe Wu,4,4,4
Kede Ma,4,4,4
Jie-Kai Liang,4,4,4
Yujiu Yang,31,31,33
Pengzhou Cheng,8,8,11
Yidong Ding,7,7,7
Tianjie Ju,7,7,7
Zongru Wu,8,8,11
Wei Du,9,9,14
Ping Yi,7,7,7
Zhuosheng Zhang,37,37,52
Gongshen Liu,12,12,17
Kaiyu Huang,22,22,30
Fengran Mo,34,34,40
Hongliang Li,13,13,14
You Li,15,15,19
Weijian Yi,11,11,11
Yulong Mao,11,11,11
Jinchen Liu,11,11,11
Yuzhuang Xu,11,11,11
Jinan Xu,20,20,24
Jian-Yun Nie,52,52,80
Mengqi Zhang,10,10,12
Xiaotian Ye,5,5,5
Pengjie Ren,20,20,27
Zhumin Chen,15,15,20
Zhichao Yang,16,16,20
Avijit Mitra,13,13,17
Sunjae Kwon,10,10,11
Xiaoxian Yang,5,5,5
Zhifeng Wang,5,5,5
Ke Wei,5,5,5
Kaiqi Zhang,5,5,5
Jiangang Shi,5,5,5
Yutao Yang,7,7,7
Xuanwen Ding,7,7,7
Tianyu Huai,7,7,7
Shunyu Liu,7,7,7
Qin Chen,15,15,19
Liang He,80,80,84
Yuan Xie,34,34,43
Peiqin Lin,4,4,4
Shaoxiong Ji,18,18,24
Jörg Tiedemann,4,4,4
Xinsong Du,15,15,15
John Novoa-Laurentiev,15,15,15
J. Plasek,25,25,26
Ya-Wen Chuang,15,15,15
Liqin Wang,15,15,15
Frank Y Chang,15,15,15
Surabhi Datta,28,28,31
Hunki Paek,15,15,15
Bin Lin,25,25,25
Xiaoyan Wang,20,20,20
Jingqi Wang,32,32,37
Hao Ding,15,15,15
Frank J. Manion,15,15,15
Jingcheng Du,34,34,36
Li Zhou,47,47,49
Yutong Wang,16,16,16
Jiali Zeng,5,5,5
Xuebo Liu,19,19,21
Sangyeop Yeo,4,4,4
Yu‐Seung Ma,4,4,4
Sang Cheol Kim,4,4,4
Hyungkook Jun,4,4,4
Taeho Kim,4,4,4
J. Beattie,7,7,7
Sarah Neufeld,7,7,7
Daniel Yang,9,9,9
C. Chukwuma,7,7,7
A. Gul,7,7,7
Neil Desai,7,7,7
Steve Jiang,7,7,7
M. Dohopolski,7,7,7
Tao Sun,8,8,8
Linzheng Chai,18,18,23
Yuwei Yin,14,14,17
Hongcheng Guo,22,22,35
Jiaheng Liu,70,70,89
Liqun Yang,24,24,32
Zhoujun Li,75,75,103
Lipeng Ma,7,7,7
Weidong Yang,7,7,7
Sihang Jiang,19,19,20
Ben Fei,7,7,7
Jiaqing Liang,23,23,27
Mingjie Zhou,7,7,7
Jiajie Jin,4,4,4
Zhicheng Dou,23,23,34
Shang Wang,7,7,7
Tianqing Zhu,7,7,7
Dayong Ye,7,7,7
Wanlei Zhou,7,7,7
Dimitrios P. Panagoulias,2,2,2
M. Virvou,2,2,2
G. Tsihrintzis,2,2,2
Shenao Wang,3,3,3
Yanjie Zhao,3,3,3
Xinyi Hou,3,3,3
Haoyu Wang,39,39,41
Zhihao Zhang,6,6,6
Alan Zhu,6,6,6
Lijie Yang,6,6,6
Yihua Xu,6,6,6
Lanting Li,6,6,6
P. Phothilimthana,6,6,6
Zhihao Jia,11,11,11
Ziyi Guan,5,5,5
Hantao Huang,5,5,5
Yupeng Su,5,5,5
Hong Huang,5,5,5
Hao Yu,27,27,32
Maria del Carmen Lopez-Perez,2,2,2
Catherine Diaz-Asper,7,7,9
Mathias K Hauglid,31,31,32
Chelsea Chandler,13,13,16
Alex S. Cohen,5,5,5
Peter W. Foltz,5,5,5
B. Elvevåg,39,39,43
Stanislaw Wo'zniak,4,4,4
Bartlomiej Koptyra,34,34,35
Arkadiusz Janz,4,4,4
Przemyslaw Kazienko,39,39,41
Jan Koco'n,4,4,4
Marco Gaido,6,6,8
Sara Papi,7,7,10
Matteo Negri,6,6,10
Bosheng Ding,16,16,18
Tianze Luo,9,9,9
Guizhen Chen,12,12,12
Wenhan Xia,9,9,9
Junjie Hu,22,22,22
A. Luu,26,26,26
Kuo Zhang,17,17,17
Xiangbin Meng,17,17,17
Xiangyu Yan,17,17,17
Jiaming Ji,17,17,17
Jingqian Liu,17,17,17
Da Liu,17,17,17
Jingjia Wang,17,17,17
Xuliang Wang,17,17,17
Jun Gao,20,20,20
Yuan-Geng-Shuo Wang,17,17,17
Chunli Shao,17,17,17
Wenyao Wang,17,17,17
Jiarong Li,17,17,17
Mingqi Zheng,17,17,17
Yaodong Yang,26,26,31
Yida Tang,17,17,17
Alberto Blanco-Justicia,6,6,6
N. Jebreel,6,6,6
Benet Manzanares-Salor,6,6,6
David Sánchez,7,7,8
Josep Domingo-Ferrer,7,7,8
Guillem Collell,6,6,6
Kuan Eeik Tan,6,6,6
Chang Liao,3,3,3
Yemin Yu,3,3,3
Yu Mei,3,3,3
Ying Wei,3,3,3
Hanyi Xu,4,4,4
S. Sahoo,11,11,11
Özlem Uzuner,22,22,28
Trevor Cohen,16,16,16
Meliha Yetisgen-Yildiz,17,17,17
Hongfang Liu,153,153,264
Stéphane Meystre,8,8,8
Yutao Zhu,21,21,26
Peitian Zhang,7,7,7
Chenghao Zhang,7,7,7
Yifei Chen,7,7,7
Binyu Xie,7,7,7
Mingxing Peng,7,7,7
Xusen Guo,7,7,7
Xianda Chen,7,7,7
Meixin Zhu,7,7,7
Kehua Chen,7,7,7
Xuesong Wang,7,7,7
Yinhai Wang,7,7,7
Bowen Zhang,16,16,16
Kehua Chang,2,2,2
Chunping Li,5,5,5
Dongfang Li,13,13,15
Zetian Sun,6,6,6
Baotian Hu,28,28,36
Xinshuo Hu,6,6,6
Yinghao Li,5,5,5
Hanning Chen,6,6,6
Wenjun Huang,6,6,6
Yang Ni,6,6,6
Sanggeon Yun,6,6,6
Fei Wen,6,6,6
Hugo Latapie,6,6,6
Mohsen Imani,6,6,6
Avinash Anand,7,7,7
Mohit Gupta,10,10,10
Kritarth Prasad,7,7,7
Navya Singla,7,7,7
Sanjana Sanjeev,7,7,7
Jatin Kumar,7,7,7
A. Shivam,7,7,7
R. Shah,49,49,55
Samuel Sledzieski,7,7,10
Meghana Kshirsagar,7,7,10
Minkyung Baek,5,5,5
R. Dodhia,7,7,10
J. L. Lavista Ferres,5,5,5
Bonnie Berger,7,7,10
Vivian Liu,1,1,1
Yiqiao Yin,1,1,1
Zhengyuan Liu,9,9,10
Geyu Lin,10,10,12
Nancy F. Chen,16,16,19
H. Kilicoglu,14,14,14
Hualei Xu,3,3,3
Mason Smetana,3,3,3
Lucio Salles de Salles,3,3,3
Igor Sukharev,3,3,3
L. Khazanovich,3,3,3
Reihaneh Amini,3,3,3
Sanaz Saki Norouzi,8,8,9
Pascal Hitzler,8,8,9
Reza Amini,3,3,3
Mengming Li,10,10,18
Wenji Fang,7,7,15
Qijun Zhang,3,3,3
Zhiyao Xie,7,7,15
Sabina Elkins,3,3,3
E. Kochmar,10,10,21
Jackie C.K. Cheung,3,3,3
Iulian Serban,10,10,21
Pengcheng Jiang,5,5,5
Zifeng Wang,16,16,17
Parminder Bhatia,24,24,24
Jimeng Sun,6,6,7
Beichen Huang,6,6,6
Yu Zhou,34,34,41
Ran Cheng,6,6,6
Zhenqing Ling,4,4,4
Daoyuan Chen,20,20,26
Liuyi Yao,15,15,18
Yaliang Li,34,34,55
G. P. Reddy,2,2,2
Y. V. Pavan Kumar,2,2,2
K. P. Prakash,2,2,2
Xiaoyu Zhang,12,12,12
Yishan Li,6,6,6
Jiayin Wang,6,6,6
Bowen Sun,6,6,6
Weizhi Ma,6,6,6
Peijie Sun,6,6,6
Christopher Wolters,3,3,3
Xiaoxuan Yang,6,6,6
Ulf Schlichtmann,7,7,7
T. Suzumura,7,7,7
Dancheng Liu,8,8,8
Amir Nassereldine,8,8,8
Ziming Yang,8,8,8
Chenhui Xu,8,8,8
Yuting Hu,8,8,8
Jiajie Li,8,8,8
Utkarsh Kumar,8,8,8
Changjae Lee,8,8,8
Jinjun Xiong,18,18,21
Pau Rodriguez Inserte,4,4,4
Mariam Nakhl'e,4,4,4
Raheel Qader,6,6,6
Gaëtan Caillaut,4,4,4
Jingshu Liu,4,4,4
Armin Toroghi,3,3,3
Willis Guo,3,3,3
Mohammad Mahdi Torabi pour,3,3,3
Yao Fu,27,27,27
Dong-Ki Kim,6,6,6
Jaekyeom Kim,6,6,6
Sungryull Sohn,6,6,6
Kyunghoon Bae,12,12,12
Ho-Sun Lee,6,6,6
Jia Ji,4,4,4
Yongshuai Hou,4,4,4
Xinyu Chen,9,9,9
Youcheng Pan,4,4,4
Yanchao Tan,5,5,5
Hang Lv,11,11,11
Xin Huang,26,26,26
Jiawei Zhang,18,18,19
Shiping Wang,8,8,8
Xuechen Liang,6,6,8
Meiling Tao,6,6,8
Yiting Xie,3,3,3
Feibo Jiang,7,7,7
Siwei Tu,7,7,7
Yubo Peng,7,7,7
Kezhi Wang,7,7,7
Kun Yang,7,7,7
Cunhua Pan,7,7,7
D. Niyato,7,7,7
Gabriel Lino Garcia,9,9,9
P. H. Paiola,9,9,9
Luis Henrique Morelli,9,9,9
Giovani Candido,9,9,9
Arnaldo Candido J'unior,9,9,9
D. Jodas,9,9,9
Luis C. S. Afonso,9,9,9
I. R. Guilherme,9,9,9
B. Penteado,9,9,9
João Paulo Papa,9,9,9
Gokcce Uludougan,5,5,5
Zeynep Yirmibecsouglu Balal,5,5,5
Furkan Akkurt,5,5,5
Melikcsah Turker,5,5,5
Onur Gungor,5,5,5
S. Uskudarli,5,5,5
Verena Blaschke,4,4,5
Christoph Purschke,13,13,13
Hinrich Schutze,14,14,14
Chaoqun Liu,12,12,14
Yiran Zhao,12,12,14
Lidong Bing,26,26,31
Benoit Gaujac,5,5,5
J'er'emie Dona,5,5,5
Liviu Copoiu,5,5,5
Timothy Atkinson,5,5,5
Thomas D. Barrett,5,5,5
Biagio Boi,2,2,2
Christian Esposito,2,2,2
Sokjoon Lee,2,2,2
Junhao Feng,7,7,7
Guohua Wang,9,9,11
Changmeng Zheng,11,11,11
Ze Fu,7,7,7
Yaowei Wang,65,65,69
Xiao Wei,7,7,7
Luhan He,8,8,8
Haiyang Xia,8,8,8
Guangji Bai,4,4,4
Yijiang Li,4,4,4
Chen Ling,25,25,26
Kibaek Kim,4,4,4
Giwon Hong,9,9,9
Aryo Pradipta Gema,9,9,9
Rohit Saxena,9,9,9
Xiaotang Du,9,9,9
Ping Nie,9,9,9
Laura Perez-Beltrachini,9,9,9
Pasquale Minervini,23,23,26
Huiyuan Lai,1,1,1
Malvina Nissim,5,5,5
Shuaimin Li,6,6,10
Xuanang Chen,6,6,10
